"user id	","tweets content	",created on,
CNN,"Fmr. Treasury Sec. Larry Summers calls Trump's top economic adviser Larry Kudlow's suggestion that it's a good time to buy for long-term investors ""a very poor, misguided performance of his duty."" Stocks posted their worst week since the financial crisis amid coronavirus fears. https://t.co/HVpY6DrgxG",2/29/2020 12:53,
CNN,"RT @CNNTonight: As the World Health Organization announces the coronavirus outbreak has reached the “highest level” of risk for the world,…",2/29/2020 12:50,
CNN,"The Los Angeles County Sheriff's Department said  it was ""deeply disturbed"" over a report that deputies shared photographs from the scene of the helicopter crash that killed Kobe Bryant, his daughter and seven others https://t.co/O7enQXzBRM",2/29/2020 12:46,
CNN,"Clearview AI has been suspended from Apple's developer program for flouting its policies, the latest controversy to hit the face recognition app https://t.co/mfuMYyLfwE",2/29/2020 12:42,
CNN,"President Trump formally announced Friday that he will nominate Kenneth Braithwaite, the current US ambassador to Norway, to be his next Navy Secretary https://t.co/ai52v5qlwy",2/29/2020 12:36,
CNN,"President Trump's advisers huddled on Friday to begin developing plans that would both stanch the economic effects of the spreading coronavirus outbreak and impose new restrictions on travelers from Japan and South Korea, sources say https://t.co/BSAQ7hN5RO",2/29/2020 12:31,
CNN,"The family of the employee who killed five co-workers at the Molson Coors complex in Milwaukee before taking his own life on Friday expressed ""terrible sadness and heartache over the tragic incident"" https://t.co/KmrG4il3GR",2/29/2020 12:25,
CNN,"David Beckham says the “freedom to dream” is the motive of his new MLS club @InterMiamiCF. Ahead of #myfreedomday, tell us what freedom means to you at https://t.co/b2j1c9IzGo https://t.co/tBhmK2EJzZ",2/29/2020 12:16,
CNN,Friday's rally wasn't the first time President Trump has suggested his supporters get involved in a Democratic primary in order to benefit him politically https://t.co/vVMfYZvpwR,2/29/2020 12:12,
CNN,RT @CNNTonight: CNN's Chief Medical Correspondent Dr. Sanjay Gupta answers viewers' questions on the coronavirus as the CDC says they expec…,2/29/2020 12:01,
CNN,"The person in Oregon diagnosed with a presumptive case of the novel coronavirus had no known travel exposure and is believed to have contracted the disease through the community, according to Oregon Health Authority Director Pat Allen https://t.co/0YJFDLTBLv",2/29/2020 11:39,
CNN,"The UK has left the EU, and a future relationship is being negotiated. Without a major breakthrough in the coming weeks, it's hard to see how this concludes any way other than the UK's transition period ending with no formal deal | Analysis by @lukemcgee https://t.co/3Mm4xUqLa4",2/29/2020 11:36,
